ZIP,PO_NAME,STATE,POP2001,MSA,EST98,EMP98,EFLAG98,PAY98,EST01,EMP01,EFLAG01,PAY01,CBSA_CODE,MAN98,MAN98_12,MAN98_39,MAN01,MAN01_12,MAN01_39,MAN98US,MAN98US12,MAN98US39,MAN01US,MANUS01_12,MANUS01_39,OFF98,OFF98_12,OFF98_39,OFF01,OFF01_12,OFF01_39,OFF98US,OFF98US12,OFF98US39,OFF01US,OFFUS01_12,OFFUS01_39,INFO98,INFO98_12,INFO98_39,INFO01,INFO01_12,INFO01_39,INFO98US,INFO98US12,INFO98US39,INFO01US,INFOUS01_1,INFOUS01_3,INDEX,NUMSEC,EST98_0,EST01_0,PCTNGE,PCTIME,PCTCSE,PCTGRO,ID
98404,TACOMA,WA,31379,Seattle,245,2941,,55235,228,2462,,51863,42660,7,5,2,6,2,4,366249,187700,178549,352619,181948,170671,31,28,3,40,33,7,1742649,1410483,332166,1831150,1468265,362885,2,2,0,2,1,1,120552,78486,42066,137293,89935,47358,699,17,245,264,2.21,-0.53,6.08,7.76,118
98443,TACOMA,WA,5696,Seattle,72,492,,17703,73,594,,20656,42660,4,3,1,3,2,1,366249,187700,178549,352619,181948,170671,20,19,1,20,18,2,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,714,13,80,73,2.21,-0.06,-10.90,-8.75,119
98418,TACOMA,WA,10483,Seattle,11,105,,3225,122,721,,17128,42660,0,0,0,0,0,0,366249,187700,178549,352619,181948,170671,8,8,0,16,11,5,1742649,1410483,332166,1831150,1468265,362885,0,0,0,0,0,0,120552,78486,42066,137293,89935,47358,706,14,61,122,2.21,-0.16,97.95,100.00,120
98467,UNIVERSITY PLACE,WA,14124,Seattle,147,1143,,28434,144,1450,,37421,42660,2,2,0,2,2,0,366249,187700,178549,352619,181948,170671,50,39,11,52,38,14,1742649,1410483,332166,1831150,1468265,362885,2,2,0,2,2,0,120552,78486,42066,137293,89935,47358,721,18,180,144,2.21,0.74,-22.95,-20.00,121
98408,TACOMA,WA,19387,Seattle,468,4665,,89382,311,4098,,76666,42660,5,4,1,5,4,1,366249,187700,178549,352619,181948,170671,55,45,10,59,53,6,1742649,1410483,332166,1831150,1468265,362885,8,7,1,6,4,2,120552,78486,42066,137293,89935,47358,703,17,468,395,2.21,0.36,-18.17,-15.60,122
98499,LAKEWOOD,WA,29492,Seattle,1294,12896,,289545,1283,16096,,373409,42660,42,22,20,41,21,20,366249,187700,178549,352619,181948,170671,335,275,60,345,263,82,1786327,1432035,354292,1878709,1492857,385852,14,9,5,18,13,5,120552,78486,42066,137293,89935,47358,723,20,1321,1283,2.21,0.71,-5.80,-2.88,123
98498,LAKEWOOD,WA,29238,Seattle,286,4046,,110875,275,5313,,149512,42660,6,5,1,5,3,2,366249,187700,178549,352619,181948,170671,56,53,3,62,56,6,1786327,1432035,354292,1878709,1492857,385852,4,3,1,3,3,0,120552,78486,42066,137293,89935,47358,722,18,286,335,2.21,0.02,14.90,17.13,124
98445,TACOMA,WA,24379,Seattle,306,2041,,55051,297,2912,,68979,42660,21,14,7,19,13,6,366249,187700,178549,352619,181948,170671,38,34,4,46,40,6,1742649,1410483,332166,1831150,1468265,362885,1,1,0,1,0,1,120552,78486,42066,137293,89935,47358,716,17,306,367,2.21,-1.04,18.77,19.93,125
98444,TACOMA,WA,31604,Seattle,564,7595,,178667,562,8631,,234923,42660,14,8,6,13,7,6,366249,187700,178549,352619,181948,170671,133,109,24,119,95,24,1786327,1432035,354292,1878709,1492857,385852,5,5,0,3,3,0,120552,78486,42066,137293,89935,47358,715,19,606,562,2.21,0.04,-9.51,-7.26,126
98446,TACOMA,WA,8239,Seattle,175,1527,,38357,171,1947,,60146,42660,19,11,8,18,10,8,366249,187700,178549,352619,181948,170671,33,31,2,31,28,3,1786327,1432035,354292,1878709,1492857,385852,1,1,0,1,0,1,120552,78486,42066,137293,89935,47358,717,17,178,171,2.21,-0.44,-5.70,-3.93,127
