FIPS,MSA,TOT_POP,POP_16,POP_65,WHITE_,BLACK_,ASIAN_,HISP_,MUTLI_RA,MALES,FEMALES,MALE1664,FEM1664,EMPL16,EMP_AWAY,EMP_HOME,EMP_29,EMP_30,EMP16_2,EMP_MALE,EMP_FEM,OCC_MAN,OCC_OFF1,OCC_INFO,HH_INC,POV_POP,POV_TOT,HSG_VAL,POLYID
13051011002,Savannah,6958,721,2722,6777,16,83,36,36,3391,3567,1583,1932,1965,1745,220,1214,531,1971,1213,758,8,810,27,96229,6934,92,307500,65
13051010805,Savannah,9241,2254,396,6272,1930,345,444,225,4573,4668,3273,3318,5425,5333,92,3864,1469,4846,2355,2491,265,1040,117,51093,9227,394,115800,66
13051004207,Savannah,3399,753,424,1522,1664,42,92,64,1543,1856,980,1242,1511,1474,37,1086,388,1459,622,837,66,196,16,34083,3375,751,88600,67
13051010901,Savannah,3681,832,451,1948,1373,86,207,55,1666,2015,1163,1235,1840,1827,13,1368,459,1716,831,885,73,226,13,29258,3666,598,72900,68
13051004202,Savannah,8312,1813,672,4137,3151,298,514,127,4123,4189,2928,2899,4446,4386,60,3164,1222,4355,2184,2171,217,635,28,30339,8276,1543,78600,69
13051004208,Savannah,5448,1312,596,2999,1874,191,294,90,2524,2924,1621,1919,2699,2646,53,2033,613,2593,1187,1406,124,424,13,35280,5335,821,80200,70
13051004100,Savannah,2048,431,316,1559,466,7,0,9,991,1057,630,671,995,949,46,742,207,973,475,498,77,169,5,43103,2048,149,85300,71
13051011003,Savannah,6161,1398,660,5177,779,64,20,75,3068,3093,2042,2061,3257,3115,142,2247,868,3317,1767,1550,129,630,61,56131,6132,248,116000,72
13051004205,Savannah,9888,1968,1318,6211,3117,225,194,118,4590,5298,3101,3501,4934,4852,82,3467,1385,4774,2440,2334,290,811,33,47262,9591,480,96000,73
13029920300,Savannah,14508,4122,882,12239,1402,287,372,144,7225,7283,4616,4888,7237,7018,219,2784,4234,6850,3484,3366,409,1331,119,59190,14427,1164,121600,74
13051004206,Savannah,1877,405,255,1264,512,49,18,28,877,1000,573,644,965,949,16,713,236,938,470,468,61,273,3,61875,1865,132,147400,75
13051010902,Savannah,1141,204,182,1022,107,10,0,0,526,615,342,413,598,590,8,436,154,580,291,289,15,170,9,63625,1134,24,130400,76
